Run,Time(ms),Memory(Bytes)
1,22.169,11177984
2,22.041,11317248
3,22.321,11177984
4,22.314,11321344
5,22.196,11243520
6,21.968,11317248
7,146.386,11345920
8,22.385,11194368
9,146.727,11243520
10,22.344,11321344
11,22.272,11247616
12,22.192,11149312
13,22.136,11153408
14,146.887,11337728
15,21.910,11296768
16,147.011,11214848
17,22.021,11247616
18,22.435,11177984
19,21.987,11218944
20,22.252,11296768
21,22.105,11210752
22,22.123,11337728
23,146.785,11214848
24,22.056,11239424
25,22.081,11317248
26,22.175,11231232
27,22.070,11153408
28,22.124,11206656
29,22.056,11214848
30,147.053,11321344
31,22.137,11177984
32,22.235,11235328
33,22.638,11235328
34,22.185,11235328
35,22.082,11206656
36,22.939,11296768
37,148.179,11337728
38,22.078,11157504
39,22.115,11341824
40,22.661,11251712
41,22.139,11231232
42,22.133,11173888
43,22.722,11325440
44,148.093,11333632
45,22.070,11198464
46,22.014,11161600
47,21.968,11206656
48,22.122,11235328
49,22.148,11341824
50,22.174,11317248
51,146.589,11321344
52,22.464,11247616
53,144.751,11206656
54,22.084,11177984
55,22.114,11317248
56,22.033,11239424
57,22.282,11243520
58,22.439,11325440
59,22.003,11321344
60,146.722,11300864
61,22.020,11173888
62,21.951,11337728
63,21.960,11354112
64,22.337,11247616
65,22.361,11264000
66,22.257,11206656
67,147.023,11214848
68,22.369,11235328
69,22.669,11268096
70,22.218,11317248
71,22.318,11321344
72,22.001,11358208
73,22.167,11345920
74,147.603,11247616
75,22.129,11239424
76,22.292,11247616
77,22.317,11341824
78,22.242,11235328
79,22.183,11243520
80,22.094,11214848
81,146.620,11317248
82,21.979,11325440
83,146.564,11202560
84,22.358,11235328
85,22.577,11337728
86,22.193,11268096
87,21.984,11317248
88,148.038,11173888
89,22.063,11325440
90,150.406,11333632
91,22.136,11161600
92,22.191,11321344
93,22.156,11214848
94,22.035,11264000
95,147.655,11104256
96,22.001,11239424
97,146.910,11149312
98,22.095,11296768
99,22.533,11296768
100,22.540,11247616

Statistics:
Average Time,45.944 ms
Max Time,150.406 ms
Average Memory,10.736 MB
Max Memory,10.832 MB
